code,state,2015,2005,1996,1977
1,Aguascalientes,3,3,3,3
2,Baja California,8,8,6,6
3,Baja California Sur,2,2,2,2
4,Campeche,2,2,2,2
5,Coahuila,7,7,7,7
6,Colima,2,2,2,2
7,Chiapas,13,12,12,9
8,Chihuahua,9,9,9,10
9,Ciudad de M�xico,24,27,30,40
10,Durango,4,4,5,6
11,Guanajuato,15,14,15,13
12,Guerrero,9,9,10,10
13,Hidalgo,7,7,7,6
14,Jalisco,20,19,19,20
15,M�xico,41,40,36,34
16,Michoac�n,12,12,13,13
17,Morelos,5,5,4,4
18,Nayarit,3,3,3,3
19,Nuevo Le�n,12,12,11,11
20,Oaxaca,10,11,11,10
21,Puebla,15,16,15,14
22,Quer�taro,5,4,4,3
23,Quintana Roo,4,3,2,2
24,San Luis Potos�,7,7,7,7
25,Sinaloa,7,8,8,9
26,Sonora,7,7,7,7
27,Tabasco,6,6,6,5
28,Tamaulipas,9,8,8,9
29,Tlaxcala,3,3,3,2
30,Veracruz,20,21,23,23
31,Yucat�n,5,5,5,4
32,Zacatecas,4,4,5,5
